Stacja;Data;Godzina;zjawisko;Zachmurzenia;Cisnienie
12570;01.06.2020;00:00:00;Mgˆa;6;1017.7
12560;01.06.2020;00:00:00;Mgˆa;6;1018.6
12570;01.06.2020;01:00:00;Mgˆa;2;1017.6
12560;01.06.2020;01:00:00;Mgˆa;5;1018.6
12566;01.06.2020;01:00:00;Mgˆa;4;1018.2
12520;01.06.2020;02:00:00;Mgˆa;2;1021.3
12560;01.06.2020;02:00:00;Mgˆa;6;1018.5
12595;01.06.2020;02:00:00;Deszcz;0;1015.9
12566;01.06.2020;02:00:00;Mgˆa;7;1018.0
12500;01.06.2020;03:00:00;Mgˆa;0;1023.2
12520;01.06.2020;03:00:00;Mgˆa;2;1021.4
12566;01.06.2020;03:00:00;Mgˆa;6;1018.2
12570;01.06.2020;03:00:00;Mgˆa;2;1017.8
12500;01.06.2020;04:00:00;Mgˆa;0;1023.4
12520;01.06.2020;04:00:00;Mgˆa;2;1021.7
12566;01.06.2020;04:00:00;Mgˆa;3;1018.2
12520;01.06.2020;05:00:00;Mgˆa;2;1021.6
12520;01.06.2020;16:00:00;Deszcz;1;1019.1
12285;01.06.2020;19:00:00;Deszcz;0;1018.0
12500;02.06.2020;01:00:00;Mgˆa;1;1021.0
12500;02.06.2020;02:00:00;Mgˆa;1;1020.6
12660;02.06.2020;02:00:00;Deszcz;0;1015.8
12500;02.06.2020;03:00:00;Mgˆa;1;1020.8
12575;02.06.2020;03:00:00;Deszcz;0;1014.8
12500;02.06.2020;04:00:00;Mgˆa;1;1020.9
12660;02.06.2020;04:00:00;Deszcz;0;1015.3
12230;02.06.2020;05:00:00;Deszcz;0;1019.0
12520;02.06.2020;05:00:00;Deszcz;6;1018.4
12124;02.06.2020;02:00:00;Mgˆa;0;1020.4
12142;02.06.2020;02:00:00;Deszcz;8;1019.1
12376;01.06.2020;21:00:00;Deszcz;8;1017.4
12376;01.06.2020;23:00:00;Deszcz;7;1016.0
12660;02.06.2020;06:00:00;Deszcz;0;1014.6
12520;02.06.2020;08:00:00;Deszcz;6;1017.3
12595;02.06.2020;10:00:00;Deszcz;8;1009.8
12595;02.06.2020;11:00:00;Deszcz;8;1010.0
12695;02.06.2020;11:00:00;Deszcz;0;1011.0
12124;02.06.2020;03:00:00;Mgˆa;1;1020.2
12124;02.06.2020;04:00:00;Mgˆa;2;1019.8
12136;02.06.2020;03:00:00;Deszcz;7;1019.7
12142;02.06.2020;03:00:00;Deszcz;7;1019.0
12520;02.06.2020;12:00:00;Deszcz;7;1016.2
12595;02.06.2020;12:00:00;Deszcz;8;1010.6
12310;02.06.2020;13:00:00;Burza;6;1014.4
12418;02.06.2020;13:00:00;Deszcz;7;1014.7
12520;02.06.2020;13:00:00;Deszcz;7;1015.7
12595;02.06.2020;13:00:00;Deszcz;8;1010.2
12695;02.06.2020;13:00:00;Deszcz;0;1011.1
12310;02.06.2020;14:00:00;Burza;6;1013.4
12399;02.06.2020;14:00:00;Deszcz;8;1009.2
12595;02.06.2020;14:00:00;Deszcz;8;1009.7
12695;02.06.2020;14:00:00;Deszcz;0;1011.2
12399;02.06.2020;15:00:00;Deszcz;8;1009.2
12418;02.06.2020;15:00:00;Deszcz;7;1011.6
12595;02.06.2020;15:00:00;Deszcz;8;1009.4
12695;02.06.2020;15:00:00;Deszcz;0;1010.6
12330;02.06.2020;16:00:00;Burza;6;1010.6
12399;02.06.2020;16:00:00;Deszcz;8;1008.9
12415;02.06.2020;16:00:00;Burza;6;1011.3
12418;02.06.2020;16:00:00;Burza;6;1010.6
12520;02.06.2020;16:00:00;Burza;7;1013.6
12530;02.06.2020;16:00:00;Deszcz;6;1010.8
12595;02.06.2020;16:00:00;Deszcz;8;1008.9
12695;02.06.2020;16:00:00;Deszcz;0;1010.1
12399;02.06.2020;17:00:00;Deszcz;8;1008.6
12415;02.06.2020;17:00:00;Burza;7;1010.6
12418;02.06.2020;17:00:00;Burza;7;1010.2
